Ward No,Ward Name,Zone Name
168,SANGAM VIHAR-C,Central
169,SANGAM VIHAR-B,Central
170,TUGHLAKABAD EXTENSION,Central
171,CHITARANJAN PARK,South
172,CHIRAG DELHI,South
173,GREATER KAILASH,South
174,SRI NIWAS PURI,Central
175,KALKAJI,Central
176,GOVIND PURI,Central
177,HARKESH NAGAR,Central
178,TUGHLAKABAD,Central
179,PUL PEHLADPUR,Central
180,BADARPUR,Central
181,MOLARBAND,Central
182,MEETHAPUR,Central
183,HARI NAGAR EXTENSION,Central
184,JAITPUR,Central
185,MADANPUR KHADAR EAST,Central
186,MADANPUR KHADAR WEST,Central
187,SARITA VIHAR,Central
188,ABUL FAZAL ENCLAVE,Central
189,ZAKIR NAGAR,Central
190,NEW ASHOK NAGAR,South Shahdara
191,MAYUR VIHAR PHASE-I,South Shahdara
